Location/Field,Leaf_Color,Symptoms,Whitefly_Presence,Temperature,Humidity,Soil_Moisture,Previous_Crop,Cotton_Variety,Disease_Type
Gujarat,Brown,Lesions,No,25.00225504,High,Warm,Oilseeds,Region-Specific,Bacterial Blight
West Bengal,Brown,Lesions,No,23.2391619,High,Warm,Oilseeds,Hybrid,Bacterial Blight
Rajasthan,Green,Absent,No,32.41053933,Low,Warm,Legumes,Hybrid,Normal
Jharkhand,Yellow,Wilting,No,27.62837842,Low,Moist,Legumes,Hybrid,Fusarium Wilt
Madhya Pradesh,Green,Absent,No,25.65008133,Mid,Warm,Legumes,Region-Specific,Normal
Haryana,Brown,Lesions,No,17.30789284,Mid,Warm,Legumes,Hybrid,Bacterial Blight
West Bengal,Brown,Lesions,No,27.11275779,Mid,Warm,Grains,Hybrid,Bacterial Blight
Rajasthan,Brown,Lesions,No,17.34407811,High,Warm,Grains,Region-Specific,Bacterial Blight
Andhra Pradesh,Green,Absent,No,21.74413151,High,Warm,Legumes,Hybrid,Normal
Odisha,Yellow,Wilting,No,17.8568393,Low,Moist,Grains,Region-Specific,Fusarium Wilt
Tamil Nadu,Yellow,Wilting,No,28.84147294,Mid,Dry,Grains,Region-Specific,Verticillium Wilt
Andhra Pradesh,Yellow,Wilting,No,19.12504228,Low,Dry,Oilseeds,Hybrid,Verticillium Wilt
Madhya Pradesh,Brown,Lesions,No,22.83718746,High,Warm,Legumes,Hybrid,Bacterial Blight
Haryana,Yellow,Wilting,No,32.91349555,High,Moist,Grains,Hybrid,Fusarium Wilt
Karnataka,Yellow,Wilting,No,19.08632767,High,Moist,Grains,Region-Specific,Fusarium Wilt
West Bengal,Green,Twist or Curl upwards,Yes,25.15610128,Low,Warm,Legumes,Hybrid,Cotton Leaf Curl Disease
Chhattisgarh,Green,Twist or Curl upwards,Yes,23.38543322,High,Warm,Oilseeds,Hybrid,Cotton Leaf Curl Disease
Odisha,Green,Absent,No,15.36248082,Mid,Warm,Legumes,Hybrid,Normal
Madhya Pradesh,Green,Twist or Curl upwards,Yes,30.85516227,Low,Warm,Oilseeds,Region-Specific,Cotton Leaf Curl Disease
Jharkhand,Green,Absent,No,16.38091813,High,Warm,Grains,Region-Specific,Normal
Gujarat,Yellow,Wilting,No,24.48510042,Low,Dry,Oilseeds,Region-Specific,Verticillium Wilt
Chhattisgarh,Brown,Lesions,No,26.2135659,Low,Warm,Oilseeds,Hybrid,Bacterial Blight
Chhattisgarh,Yellow,Wilting,No,27.56852913,High,Moist,Legumes,Hybrid,Fusarium Wilt
Chhattisgarh,Yellow,Wilting,No,28.77263259,High,Dry,Grains,Region-Specific,Verticillium Wilt
Telangana,Yellow,Wilting,No,20.06544767,Low,Dry,Legumes,Hybrid,Verticillium Wilt
Madhya Pradesh,Green,Absent,No,15.19957553,Low,Warm,Legumes,Hybrid,Normal
Odisha,Brown,Lesions,No,29.46887325,High,Warm,Grains,Region-Specific,Bacterial Blight
Tamil Nadu,Green,Absent,No,25.71313199,Mid,Warm,Legumes,Region-Specific,Normal
Tamil Nadu,Yellow,Wilting,No,31.72235406,Low,Dry,Legumes,Region-Specific,Verticillium Wilt
Madhya Pradesh,Yellow,Wilting,No,31.42776726,Low,Moist,Oilseeds,Hybrid,Fusarium Wilt
Rajasthan,Green,Twist or Curl upwards,Yes,31.86652336,Mid,Warm,Legumes,Hybrid,Cotton Leaf Curl Disease
Telangana,Green,Absent,No,24.7018932,High,Warm,Grains,Hybrid,Normal
Gujarat,Yellow,Wilting,No,21.67256792,High,Dry,Legumes,Region-Specific,Verticillium Wilt
Chhattisgarh,Green,Twist or Curl upwards,Yes,30.83116405,Mid,Warm,Oilseeds,Region-Specific,Cotton Leaf Curl Disease
Chhattisgarh,Green,Twist or Curl upwards,Yes,24.02588226,High,Warm,Legumes,Hybrid,Cotton Leaf Curl Disease
Madhya Pradesh,Yellow,Wilting,No,18.66884393,High,Dry,Legumes,Region-Specific,Verticillium Wilt
Rajasthan,Brown,Lesions,No,32.09948039,Low,Warm,Legumes,Region-Specific,Bacterial Blight
Tamil Nadu,Yellow,Wilting,No,32.65119754,Low,Dry,Oilseeds,Hybrid,Verticillium Wilt
Tamil Nadu,Yellow,Wilting,No,24.32619512,Low,Moist,Grains,Region-Specific,Fusarium Wilt
Haryana,Green,Twist or Curl upwards,Yes,16.51399455,Mid,Warm,Grains,Hybrid,Cotton Leaf Curl Disease
Madhya Pradesh,Yellow,Wilting,No,22.7565218,High,Moist,Oilseeds,Region-Specific,Fusarium Wilt
Telangana,Green,Absent,No,31.07075319,High,Warm,Oilseeds,Hybrid,Normal
Maharashtra,Green,Twist or Curl upwards,Yes,33.03548057,Low,Warm,Legumes,Region-Specific,Cotton Leaf Curl Disease
Telangana,Brown,Lesions,No,19.06945485,Low,Warm,Grains,Hybrid,Bacterial Blight
Jharkhand,Yellow,Wilting,No,16.33947224,Mid,Dry,Oilseeds,Region-Specific,Verticillium Wilt
Tamil Nadu,Green,Absent,No,32.54700906,High,Warm,Grains,Region-Specific,Normal
Tamil Nadu,Yellow,Wilting,No,22.78809878,Mid,Moist,Legumes,Region-Specific,Fusarium Wilt
Andhra Pradesh,Green,Absent,No,25.83521929,High,Warm,Oilseeds,Region-Specific,Normal
Tamil Nadu,Brown,Lesions,No,34.36131624,Mid,Warm,Grains,Region-Specific,Bacterial Blight
Gujarat,Yellow,Wilting,No,16.33129456,Low,Dry,Grains,Hybrid,Verticillium Wilt
Punjab,Green,Absent,No,27.96636015,Mid,Warm,Legumes,Hybrid,Normal
Madhya Pradesh,Yellow,Wilting,No,16.48210845,Mid,Moist,Oilseeds,Hybrid,Fusarium Wilt
West Bengal,Green,Absent,No,22.50937857,Low,Warm,Grains,Region-Specific,Normal
Telangana,Yellow,Wilting,No,31.0762909,High,Dry,Legumes,Hybrid,Verticillium Wilt
Punjab,Green,Absent,No,23.66944466,High,Warm,Grains,Region-Specific,Normal
Rajasthan,Yellow,Wilting,No,34.94364708,Low,Moist,Legumes,Region-Specific,Fusarium Wilt
Maharashtra,Yellow,Wilting,No,26.1811857,Mid,Dry,Grains,Hybrid,Verticillium Wilt
Gujarat,Brown,Lesions,No,21.42324305,Mid,Warm,Grains,Hybrid,Bacterial Blight
Odisha,Brown,Lesions,No,19.40222652,Mid,Warm,Legumes,Region-Specific,Bacterial Blight
Uttar Pradesh,Green,Twist or Curl upwards,Yes,22.01041069,High,Warm,Oilseeds,Region-Specific,Cotton Leaf Curl Disease
Telangana,Green,Absent,No,22.45066548,Mid,Warm,Legumes,Hybrid,Normal
Punjab,Yellow,Wilting,No,16.37427355,High,Moist,Oilseeds,Hybrid,Fusarium Wilt
Odisha,Green,Absent,No,22.39148399,Mid,Warm,Grains,Region-Specific,Normal
Maharashtra,Yellow,Wilting,No,24.28477039,Low,Dry,Grains,Region-Specific,Verticillium Wilt
Andhra Pradesh,Green,Twist or Curl upwards,Yes,29.45475504,Low,Warm,Legumes,Hybrid,Cotton Leaf Curl Disease
Odisha,Yellow,Wilting,No,28.13458969,High,Moist,Legumes,Region-Specific,Fusarium Wilt
Gujarat,Green,Absent,No,29.1753131,High,Warm,Oilseeds,Region-Specific,Normal
Gujarat,Yellow,Wilting,No,15.16727364,Low,Moist,Oilseeds,Hybrid,Fusarium Wilt
West Bengal,Yellow,Wilting,No,19.35334799,Low,Dry,Oilseeds,Hybrid,Verticillium Wilt
Andhra Pradesh,Green,Twist or Curl upwards,Yes,28.23368577,Mid,Warm,Legumes,Region-Specific,Cotton Leaf Curl Disease
Uttar Pradesh,Yellow,Wilting,No,24.67978736,Low,Moist,Grains,Region-Specific,Fusarium Wilt
Madhya Pradesh,Yellow,Wilting,No,15.10626951,High,Dry,Legumes,Hybrid,Verticillium Wilt
Odisha,Brown,Lesions,No,31.08989285,Low,Warm,Grains,Region-Specific,Bacterial Blight
Andhra Pradesh,Yellow,Wilting,No,30.45619147,High,Moist,Legumes,Hybrid,Fusarium Wilt
Gujarat,Green,Twist or Curl upwards,Yes,25.96838326,High,Warm,Legumes,Region-Specific,Cotton Leaf Curl Disease
Gujarat,Yellow,Wilting,No,16.32926652,Mid,Moist,Oilseeds,Hybrid,Fusarium Wilt
Punjab,Yellow,Wilting,No,30.33030099,Mid,Moist,Grains,Region-Specific,Fusarium Wilt
Tamil Nadu,Yellow,Wilting,No,26.67427175,Mid,Dry,Legumes,Region-Specific,Verticillium Wilt
Uttar Pradesh,Green,Absent,No,30.63919954,Mid,Warm,Legumes,Region-Specific,Normal
Odisha,Green,Absent,No,30.03493985,Low,Warm,Grains,Hybrid,Normal
West Bengal,Yellow,Wilting,No,31.06004144,Mid,Moist,Legumes,Hybrid,Fusarium Wilt
West Bengal,Green,Twist or Curl upwards,Yes,25.36016133,Low,Warm,Grains,Hybrid,Cotton Leaf Curl Disease
Odisha,Green,Twist or Curl upwards,Yes,17.80649036,Mid,Warm,Oilseeds,Region-Specific,Cotton Leaf Curl Disease
Jharkhand,Yellow,Wilting,No,28.42314947,Mid,Dry,Oilseeds,Region-Specific,Verticillium Wilt
Chhattisgarh,Yellow,Wilting,No,27.4094757,High,Moist,Grains,Hybrid,Fusarium Wilt
Maharashtra,Yellow,Wilting,No,29.84506374,Low,Moist,Oilseeds,Hybrid,Fusarium Wilt
West Bengal,Green,Absent,No,18.39762012,High,Warm,Grains,Region-Specific,Normal
Andhra Pradesh,Yellow,Wilting,No,18.899504,Mid,Dry,Legumes,Region-Specific,Verticillium Wilt
Maharashtra,Brown,Lesions,No,32.80819034,Low,Warm,Legumes,Region-Specific,Bacterial Blight
Andhra Pradesh,Green,Twist or Curl upwards,Yes,29.99955597,Mid,Warm,Grains,Region-Specific,Cotton Leaf Curl Disease
Rajasthan,Green,Twist or Curl upwards,Yes,33.16456977,High,Warm,Legumes,Hybrid,Cotton Leaf Curl Disease
Gujarat,Yellow,Wilting,No,30.17430642,Low,Moist,Oilseeds,Hybrid,Fusarium Wilt
Tamil Nadu,Yellow,Wilting,No,26.94310612,High,Dry,Legumes,Region-Specific,Verticillium Wilt
Punjab,Brown,Lesions,No,28.08265474,Mid,Warm,Legumes,Region-Specific,Bacterial Blight
West Bengal,Green,Twist or Curl upwards,Yes,32.78255848,Mid,Warm,Grains,Region-Specific,Cotton Leaf Curl Disease
Tamil Nadu,Yellow,Wilting,No,26.57613509,Mid,Dry,Oilseeds,Hybrid,Verticillium Wilt
Tamil Nadu,Brown,Lesions,No,27.64782649,Low,Warm,Legumes,Hybrid,Bacterial Blight
Tamil Nadu,Yellow,Wilting,No,18.12953432,High,Moist,Legumes,Region-Specific,Fusarium Wilt
Chhattisgarh,Green,Absent,No,24.4784244,High,Warm,Grains,Region-Specific,Normal
Maharashtra,Green,Twist or Curl upwards,Yes,29.32794224,Mid,Warm,Grains,Region-Specific,Cotton Leaf Curl Disease
Andhra Pradesh,Green,Twist or Curl upwards,Yes,20.41885397,High,Warm,Oilseeds,Region-Specific,Cotton Leaf Curl Disease
Karnataka,Brown,Lesions,No,19.04508361,Low,Warm,Legumes,Region-Specific,Bacterial Blight
Rajasthan,Green,Absent,No,21.27653616,Mid,Warm,Grains,Region-Specific,Normal
Telangana,Yellow,Wilting,No,19.83001256,Mid,Dry,Grains,Hybrid,Verticillium Wilt
Tamil Nadu,Yellow,Wilting,No,19.29825274,Mid,Moist,Grains,Hybrid,Fusarium Wilt
Madhya Pradesh,Yellow,Wilting,No,23.49701686,Low,Dry,Oilseeds,Hybrid,Verticillium Wilt
Maharashtra,Brown,Lesions,No,33.15677028,Mid,Warm,Grains,Region-Specific,Bacterial Blight
West Bengal,Green,Twist or Curl upwards,Yes,25.14119293,Mid,Warm,Oilseeds,Region-Specific,Cotton Leaf Curl Disease
Uttar Pradesh,Green,Twist or Curl upwards,Yes,18.75840762,Mid,Warm,Oilseeds,Region-Specific,Cotton Leaf Curl Disease
West Bengal,Yellow,Wilting,No,16.53943339,Mid,Dry,Legumes,Hybrid,Verticillium Wilt
Punjab,Yellow,Wilting,No,28.9231229,High,Moist,Legumes,Region-Specific,Fusarium Wilt
Telangana,Brown,Lesions,No,22.65597529,Mid,Warm,Oilseeds,Hybrid,Bacterial Blight
Karnataka,Yellow,Wilting,No,31.43661893,Low,Moist,Legumes,Region-Specific,Fusarium Wilt
Madhya Pradesh,Brown,Lesions,No,28.19021537,Mid,Warm,Legumes,Region-Specific,Bacterial Blight
West Bengal,Yellow,Wilting,No,30.92482901,Mid,Moist,Grains,Region-Specific,Fusarium Wilt
Karnataka,Yellow,Wilting,No,20.43892079,High,Dry,Legumes,Hybrid,Verticillium Wilt
Telangana,Green,Absent,No,28.84717845,Mid,Warm,Oilseeds,Hybrid,Normal
Tamil Nadu,Brown,Lesions,No,20.28123969,High,Warm,Legumes,Hybrid,Bacterial Blight
Madhya Pradesh,Yellow,Wilting,No,33.78136959,Low,Dry,Grains,Region-Specific,Verticillium Wilt
Karnataka,Green,Twist or Curl upwards,Yes,27.72748563,High,Warm,Oilseeds,Hybrid,Cotton Leaf Curl Disease
Punjab,Green,Twist or Curl upwards,Yes,21.490236,Mid,Warm,Legumes,Region-Specific,Cotton Leaf Curl Disease
Andhra Pradesh,Yellow,Wilting,No,20.39023725,Low,Moist,Oilseeds,Region-Specific,Fusarium Wilt
Gujarat,Green,Twist or Curl upwards,Yes,18.8185317,Mid,Warm,Legumes,Hybrid,Cotton Leaf Curl Disease
Andhra Pradesh,Green,Absent,No,28.89281918,High,Warm,Grains,Hybrid,Normal
Telangana,Brown,Lesions,No,19.37431226,Low,Warm,Legumes,Region-Specific,Bacterial Blight
Maharashtra,Yellow,Wilting,No,26.90606532,Low,Moist,Oilseeds,Region-Specific,Fusarium Wilt
Gujarat,Brown,Lesions,No,20.29270054,High,Warm,Oilseeds,Region-Specific,Bacterial Blight
Rajasthan,Brown,Lesions,No,28.2393789,High,Warm,Oilseeds,Region-Specific,Bacterial Blight
Punjab,Yellow,Wilting,No,31.29879457,Low,Dry,Legumes,Hybrid,Verticillium Wilt
Rajasthan,Green,Twist or Curl upwards,Yes,30.56050486,Low,Warm,Legumes,Hybrid,Cotton Leaf Curl Disease
Chhattisgarh,Brown,Lesions,No,30.21702662,High,Warm,Legumes,Hybrid,Bacterial Blight
Madhya Pradesh,Green,Absent,No,18.75444811,Mid,Warm,Grains,Region-Specific,Normal
Odisha,Green,Absent,No,16.76769894,Low,Warm,Grains,Region-Specific,Normal
Gujarat,Green,Twist or Curl upwards,Yes,28.97897657,High,Warm,Grains,Region-Specific,Cotton Leaf Curl Disease
Rajasthan,Green,Twist or Curl upwards,Yes,22.36694428,Mid,Warm,Oilseeds,Hybrid,Cotton Leaf Curl Disease
West Bengal,Yellow,Wilting,No,23.64692453,Low,Moist,Oilseeds,Region-Specific,Fusarium Wilt
Rajasthan,Yellow,Wilting,No,15.62298186,Low,Moist,Oilseeds,Region-Specific,Fusarium Wilt
Karnataka,Yellow,Wilting,No,20.19152899,High,Moist,Oilseeds,Hybrid,Fusarium Wilt
Andhra Pradesh,Green,Twist or Curl upwards,Yes,15.67352808,Mid,Warm,Oilseeds,Hybrid,Cotton Leaf Curl Disease
Karnataka,Brown,Lesions,No,32.58371545,Low,Warm,Legumes,Region-Specific,Bacterial Blight
Chhattisgarh,Yellow,Wilting,No,19.86793366,Mid,Dry,Oilseeds,Hybrid,Verticillium Wilt
Gujarat,Yellow,Wilting,No,26.14674339,Mid,Moist,Legumes,Region-Specific,Fusarium Wilt
Gujarat,Yellow,Wilting,No,15.77958641,Low,Dry,Grains,Hybrid,Verticillium Wilt
Chhattisgarh,Green,Absent,No,28.33694783,Mid,Warm,Grains,Region-Specific,Normal
Telangana,Green,Twist or Curl upwards,Yes,21.46054692,Low,Warm,Grains,Hybrid,Cotton Leaf Curl Disease
Karnataka,Green,Absent,No,32.95838374,Mid,Warm,Grains,Hybrid,Normal
Haryana,Yellow,Wilting,No,32.76236378,Low,Moist,Grains,Hybrid,Fusarium Wilt
West Bengal,Brown,Lesions,No,21.50581237,High,Warm,Oilseeds,Hybrid,Bacterial Blight
Uttar Pradesh,Yellow,Wilting,No,33.01921791,Low,Moist,Oilseeds,Region-Specific,Fusarium Wilt
Andhra Pradesh,Yellow,Wilting,No,34.92315347,Low,Dry,Oilseeds,Region-Specific,Verticillium Wilt
Gujarat,Yellow,Wilting,No,31.50831328,Low,Moist,Grains,Hybrid,Fusarium Wilt
Telangana,Brown,Lesions,No,31.89742696,Mid,Warm,Grains,Region-Specific,Bacterial Blight
Odisha,Brown,Lesions,No,19.98017472,High,Warm,Legumes,Hybrid,Bacterial Blight
West Bengal,Green,Twist or Curl upwards,Yes,26.53404798,Mid,Warm,Oilseeds,Hybrid,Cotton Leaf Curl Disease
Karnataka,Green,Twist or Curl upwards,Yes,16.34511828,Mid,Warm,Grains,Region-Specific,Cotton Leaf Curl Disease
Andhra Pradesh,Brown,Lesions,No,16.89835874,Low,Warm,Grains,Region-Specific,Bacterial Blight
Odisha,Brown,Lesions,No,34.97785224,Mid,Warm,Grains,Region-Specific,Bacterial Blight
Karnataka,Yellow,Wilting,No,21.53278499,Low,Dry,Legumes,Region-Specific,Verticillium Wilt
Rajasthan,Yellow,Wilting,No,29.96367824,High,Moist,Grains,Region-Specific,Fusarium Wilt
Odisha,Green,Twist or Curl upwards,Yes,31.13330106,Mid,Warm,Legumes,Region-Specific,Cotton Leaf Curl Disease
Chhattisgarh,Yellow,Wilting,No,32.16046542,Mid,Dry,Legumes,Region-Specific,Verticillium Wilt
Jharkhand,Yellow,Wilting,No,34.95256595,Mid,Moist,Oilseeds,Hybrid,Fusarium Wilt
Telangana,Green,Twist or Curl upwards,Yes,19.82992971,Low,Warm,Grains,Region-Specific,Cotton Leaf Curl Disease
Andhra Pradesh,Yellow,Wilting,No,15.80701654,Low,Dry,Legumes,Hybrid,Verticillium Wilt
Tamil Nadu,Green,Absent,No,23.22383036,Mid,Warm,Grains,Region-Specific,Normal
Jharkhand,Green,Absent,No,17.6016134,Mid,Warm,Oilseeds,Region-Specific,Normal
Madhya Pradesh,Green,Twist or Curl upwards,Yes,15.44851778,High,Warm,Oilseeds,Hybrid,Cotton Leaf Curl Disease
Madhya Pradesh,Yellow,Wilting,No,22.20853654,High,Dry,Legumes,Hybrid,Verticillium Wilt
Andhra Pradesh,Yellow,Wilting,No,30.67476502,High,Moist,Oilseeds,Hybrid,Fusarium Wilt
Odisha,Yellow,Wilting,No,26.32361382,High,Moist,Oilseeds,Hybrid,Fusarium Wilt
Karnataka,Yellow,Wilting,No,21.25555978,High,Dry,Oilseeds,Region-Specific,Verticillium Wilt
Telangana,Green,Absent,No,28.08684011,Low,Warm,Grains,Region-Specific,Normal
Uttar Pradesh,Yellow,Wilting,No,19.64036361,High,Dry,Grains,Hybrid,Verticillium Wilt
Madhya Pradesh,Green,Absent,No,15.28762892,High,Warm,Legumes,Hybrid,Normal
Telangana,Green,Absent,No,30.28706773,Mid,Warm,Legumes,Region-Specific,Normal
Madhya Pradesh,Yellow,Wilting,No,27.4748617,Low,Moist,Oilseeds,Region-Specific,Fusarium Wilt
Rajasthan,Green,Twist or Curl upwards,Yes,30.24605249,High,Warm,Oilseeds,Hybrid,Cotton Leaf Curl Disease
Karnataka,Brown,Lesions,No,15.77876033,High,Warm,Legumes,Region-Specific,Bacterial Blight
Rajasthan,Yellow,Wilting,No,31.74239256,High,Dry,Oilseeds,Region-Specific,Verticillium Wilt
West Bengal,Green,Absent,No,27.390524,Mid,Warm,Legumes,Hybrid,Normal
Madhya Pradesh,Yellow,Wilting,No,26.26790701,Mid,Dry,Grains,Hybrid,Verticillium Wilt
Tamil Nadu,Green,Twist or Curl upwards,Yes,27.49228096,Mid,Warm,Oilseeds,Hybrid,Cotton Leaf Curl Disease
Tamil Nadu,Green,Twist or Curl upwards,Yes,32.28866494,High,Warm,Oilseeds,Hybrid,Cotton Leaf Curl Disease
Rajasthan,Brown,Lesions,No,26.73873013,Mid,Warm,Oilseeds,Region-Specific,Bacterial Blight
Chhattisgarh,Brown,Lesions,No,26.6190076,High,Warm,Grains,Hybrid,Bacterial Blight
Jharkhand,Green,Absent,No,34.81358314,Low,Warm,Grains,Region-Specific,Normal
Tamil Nadu,Brown,Lesions,No,30.13460334,High,Warm,Oilseeds,Region-Specific,Bacterial Blight
Madhya Pradesh,Green,Absent,No,23.84587611,Mid,Warm,Legumes,Region-Specific,Normal
Andhra Pradesh,Yellow,Wilting,No,29.14794,Low,Moist,Grains,Region-Specific,Fusarium Wilt
Rajasthan,Green,Absent,No,22.78460943,High,Warm,Oilseeds,Hybrid,Normal
West Bengal,Brown,Lesions,No,19.57750925,Low,Warm,Oilseeds,Region-Specific,Bacterial Blight
Uttar Pradesh,Yellow,Wilting,No,26.93703754,Low,Dry,Grains,Hybrid,Verticillium Wilt
Uttar Pradesh,Brown,Lesions,No,33.56364196,Low,Warm,Legumes,Region-Specific,Bacterial Blight
Maharashtra,Green,Twist or Curl upwards,Yes,33.5827904,High,Warm,Oilseeds,Hybrid,Cotton Leaf Curl Disease
Jharkhand,Brown,Lesions,No,21.83810556,Mid,Warm,Legumes,Region-Specific,Bacterial Blight
Odisha,Yellow,Wilting,No,25.55354932,High,Moist,Legumes,Region-Specific,Fusarium Wilt
Karnataka,Green,Absent,No,19.23271797,Mid,Warm,Grains,Hybrid,Normal
Tamil Nadu,Green,Twist or Curl upwards,Yes,34.91262219,High,Warm,Oilseeds,Hybrid,Cotton Leaf Curl Disease
Tamil Nadu,Green,Absent,No,34.62235816,High,Warm,Oilseeds,Hybrid,Normal
Odisha,Green,Absent,No,27.99017859,High,Warm,Legumes,Hybrid,Normal
Gujarat,Brown,Lesions,No,31.08828119,Mid,Warm,Grains,Region-Specific,Bacterial Blight
West Bengal,Yellow,Wilting,No,29.30200323,High,Dry,Grains,Region-Specific,Verticillium Wilt
Haryana,Green,Twist or Curl upwards,Yes,26.86316438,Low,Warm,Grains,Region-Specific,Cotton Leaf Curl Disease
Rajasthan,Yellow,Wilting,No,16.06695994,High,Moist,Legumes,Region-Specific,Fusarium Wilt
Chhattisgarh,Yellow,Wilting,No,24.09528685,Low,Moist,Legumes,Region-Specific,Fusarium Wilt
West Bengal,Yellow,Wilting,No,28.49572604,Mid,Dry,Oilseeds,Hybrid,Verticillium Wilt
Punjab,Yellow,Wilting,No,28.55063228,Mid,Dry,Grains,Hybrid,Verticillium Wilt
Tamil Nadu,Brown,Lesions,No,22.46245237,High,Warm,Legumes,Region-Specific,Bacterial Blight
Karnataka,Yellow,Wilting,No,33.83383973,High,Moist,Grains,Hybrid,Fusarium Wilt
Maharashtra,Green,Twist or Curl upwards,Yes,18.34714064,High,Warm,Legumes,Region-Specific,Cotton Leaf Curl Disease
Uttar Pradesh,Yellow,Wilting,No,25.00718892,Low,Dry,Oilseeds,Region-Specific,Verticillium Wilt
Tamil Nadu,Yellow,Wilting,No,28.81767953,Mid,Dry,Grains,Hybrid,Verticillium Wilt
Maharashtra,Yellow,Wilting,No,28.94271612,Low,Dry,Legumes,Region-Specific,Verticillium Wilt
Madhya Pradesh,Green,Twist or Curl upwards,Yes,27.97277914,Low,Warm,Grains,Hybrid,Cotton Leaf Curl Disease
West Bengal,Yellow,Wilting,No,20.50576427,High,Moist,Legumes,Region-Specific,Fusarium Wilt
Madhya Pradesh,Green,Twist or Curl upwards,Yes,18.12413137,High,Warm,Legumes,Hybrid,Cotton Leaf Curl Disease
Haryana,Green,Twist or Curl upwards,Yes,27.71880654,Low,Warm,Legumes,Region-Specific,Cotton Leaf Curl Disease
Andhra Pradesh,Brown,Lesions,No,26.98604232,Low,Warm,Grains,Region-Specific,Bacterial Blight
Punjab,Yellow,Wilting,No,18.58712021,High,Dry,Legumes,Hybrid,Verticillium Wilt
West Bengal,Yellow,Wilting,No,29.10278291,High,Moist,Oilseeds,Region-Specific,Fusarium Wilt
Gujarat,Brown,Lesions,No,24.10343983,Low,Warm,Grains,Region-Specific,Bacterial Blight
Haryana,Brown,Lesions,No,28.35521183,High,Warm,Oilseeds,Hybrid,Bacterial Blight
Telangana,Green,Absent,No,31.7473416,High,Warm,Oilseeds,Hybrid,Normal
Gujarat,Yellow,Wilting,No,18.39456857,Low,Dry,Grains,Hybrid,Verticillium Wilt
Jharkhand,Yellow,Wilting,No,15.38289736,Low,Moist,Legumes,Region-Specific,Fusarium Wilt
Rajasthan,Yellow,Wilting,No,30.58205173,Mid,Moist,Oilseeds,Hybrid,Fusarium Wilt
Karnataka,Yellow,Wilting,No,27.1939485,Low,Moist,Grains,Hybrid,Fusarium Wilt
West Bengal,Yellow,Wilting,No,28.99279139,High,Dry,Legumes,Hybrid,Verticillium Wilt
Telangana,Yellow,Wilting,No,31.7630995,Low,Moist,Grains,Region-Specific,Fusarium Wilt
Telangana,Green,Twist or Curl upwards,Yes,31.0562187,Low,Warm,Grains,Hybrid,Cotton Leaf Curl Disease
Haryana,Green,Twist or Curl upwards,Yes,34.21840294,Low,Warm,Grains,Region-Specific,Cotton Leaf Curl Disease
Odisha,Yellow,Wilting,No,25.71870158,Mid,Dry,Legumes,Region-Specific,Verticillium Wilt
Jharkhand,Yellow,Wilting,No,24.76991265,Mid,Moist,Oilseeds,Hybrid,Fusarium Wilt
Andhra Pradesh,Green,Absent,No,23.037744,High,Warm,Oilseeds,Region-Specific,Normal
West Bengal,Green,Absent,No,18.07382086,Mid,Warm,Grains,Region-Specific,Normal
Odisha,Green,Absent,No,26.45214466,Low,Warm,Grains,Region-Specific,Normal
Haryana,Green,Twist or Curl upwards,Yes,20.54025049,Mid,Warm,Legumes,Region-Specific,Cotton Leaf Curl Disease
Rajasthan,Green,Absent,No,33.42615024,Low,Warm,Grains,Region-Specific,Normal
Uttar Pradesh,Yellow,Wilting,No,26.66381609,Mid,Moist,Grains,Hybrid,Fusarium Wilt
Tamil Nadu,Yellow,Wilting,No,26.85680361,Mid,Moist,Grains,Hybrid,Fusarium Wilt
Tamil Nadu,Green,Absent,No,22.09849322,Mid,Warm,Oilseeds,Hybrid,Normal
Andhra Pradesh,Brown,Lesions,No,16.03978704,Low,Warm,Grains,Region-Specific,Bacterial Blight
Rajasthan,Green,Absent,No,15.63487531,Mid,Warm,Oilseeds,Hybrid,Normal
Chhattisgarh,Brown,Lesions,No,23.46670288,Low,Warm,Legumes,Region-Specific,Bacterial Blight
Andhra Pradesh,Yellow,Wilting,No,16.69130756,Low,Dry,Legumes,Region-Specific,Verticillium Wilt
West Bengal,Yellow,Wilting,No,27.13693911,High,Dry,Oilseeds,Region-Specific,Verticillium Wilt
West Bengal,Yellow,Wilting,No,32.61946011,Mid,Moist,Oilseeds,Region-Specific,Fusarium Wilt
Maharashtra,Green,Twist or Curl upwards,Yes,32.65829633,High,Warm,Oilseeds,Hybrid,Cotton Leaf Curl Disease
Odisha,Yellow,Wilting,No,28.1809082,High,Moist,Oilseeds,Region-Specific,Fusarium Wilt
Chhattisgarh,Yellow,Wilting,No,19.22463663,Low,Moist,Grains,Hybrid,Fusarium Wilt
Tamil Nadu,Green,Twist or Curl upwards,Yes,32.25993663,Mid,Warm,Oilseeds,Hybrid,Cotton Leaf Curl Disease
Telangana,Yellow,Wilting,No,32.72186871,Low,Moist,Oilseeds,Region-Specific,Fusarium Wilt
Odisha,Green,Twist or Curl upwards,Yes,18.9330717,Low,Warm,Oilseeds,Hybrid,Cotton Leaf Curl Disease
Punjab,Yellow,Wilting,No,29.74852172,Mid,Moist,Grains,Hybrid,Fusarium Wilt
West Bengal,Yellow,Wilting,No,20.73039098,Low,Dry,Grains,Hybrid,Verticillium Wilt
Jharkhand,Brown,Lesions,No,31.05280625,Mid,Warm,Grains,Region-Specific,Bacterial Blight
Karnataka,Yellow,Wilting,No,34.944758,Mid,Moist,Legumes,Region-Specific,Fusarium Wilt
